country_code,country_name,region
AL,Albania,Southeast Europe
AT,Austria,Central Europe
BA,Bosnia and Herzegovina,Southeast Europe
BE,Belgium,Western Europe
BG,Bulgaria,Eastern Europe
BY,Belarus,Eastern Europe
CH,Switzerland,Central Europe
CY,Cyprus,Southern Europe
CZ,Czech Republic,Central Europe
DE,Germany,Central Europe
DK,Denmark,Northern Europe
EE,Estonia,Northern Europe
ES,Spain,Southern Europe
FI,Finland,Northern Europe
FR,France,Western Europe
GB,United Kingdom,Western Europe
GE,Georgia,Caucasus
GR,Greece,Southern Europe
HR,Croatia,Southeast Europe
HU,Hungary,Central Europe
IE,Ireland,Western Europe
IT,Italy,Southern Europe
LT,Lithuania,Northern Europe
LU,Luxembourg,Western Europe
LV,Latvia,Northern Europe
MD,Moldova,Eastern Europe
ME,Montenegro,Southeast Europe
MK,North Macedonia,Southeast Europe
MT,Malta,Southern Europe
NL,Netherlands,Western Europe
NO,Norway,Northern Europe
PL,Poland,Central Europe
PT,Portugal,Southern Europe
RO,Romania,Eastern Europe
RS,Serbia,Southeast Europe
RU,Russia,Eastern Europe
SE,Sweden,Northern Europe
SI,Slovenia,Central Europe
SK,Slovakia,Central Europe
TR,Turkey,Southeast Europe
UA,Ukraine,Eastern Europe
XK,Kosovo,Southeast Europe
